==== Evaluation Results ====

| Model    | Resolution   | Horizon   | Target Variable   | Input Type   |    MAE |   RMSE |   MAPE (%) |   Fit Time |   # Params |
| ATT      | 6h           | t+4       | T                 | Univariate   | 1.2200 | 1.5600 |   350.5200 |    14.5952 |      18977 |
| ATT_MV   | 6h           | t+1       | T                 | Multivariate | 1.1900 | 1.5500 |   384.9400 |    54.2700 |      19041 |
| ATT_MV   | 6h           | t+4       | T                 | Multivariate | 1.3800 | 1.8300 |   300.8900 |    54.2700 |      19041 |
| TRANS    | 6h           | t+1       | T                 | Univariate   | 1.2400 | 1.6300 |   321.3100 |    19.5148 |      38065 |
| TRANS    | 6h           | t+4       | T                 | Univariate   | 1.2500 | 1.5800 |   375.4000 |    19.5148 |      38065 |
| TRANS_MV | 6h           | t+1       | T                 | Multivariate | 1.1300 | 1.4500 |   268.8000 |    42.2326 |      38161 |
| TRANS_MV | 6h           | t+4       | T                 | Multivariate | 1.4400 | 1.8900 |   327.5400 |    42.2326 |      38161 |


-- 24h --

| Model    | Resolution   | Horizon   | Target Variable   | Input Type   |    MAE |   RMSE |   MAPE (%) |   Fit Time |   # Params |
|----------|--------------|-----------|-------------------|--------------|--------|--------|------------|------------|------------|
| AR(1)    | 24h          | t+1       | T                 | Univariate   | 1.5200 | 2.1900 |   140.9300 |     0.0017 |          2 |
| AR(3)    | 24h          | t+1       | T                 | Univariate   | 1.6300 | 2.2300 |   118.6300 |     0.0020 |          4 |
| RNN      | 24h          | t+1       | T                 | Univariate   | 1.2900 | 2.0000 |   136.2900 |     0.5512 |       1153 |
| RNN_MV   | 24h          | t+1       | T                 | Multivariate | 1.3000 | 2.0200 |   135.9300 |     0.3411 |       1217 |
| ATT      | 24h          | t+1       | T                 | Univariate   | 1.3500 | 2.0400 |   232.9800 |     3.7550 |      18081 |
| ATT_MV   | 24h          | t+1       | T                 | Multivariate | 1.3000 | 1.9100 |   368.8800 |     2.5273 |      18145 |
| TRANS    | 24h          | t+1       | T                 | Univariate   | 1.2900 | 1.9900 |   107.4700 |     1.4925 |      38065 |
| TRANS_MV | 24h          | t+1       | T                 | Multivariate | 1.3000 | 1.9200 |   223.3000 |     2.4473 |      38161 |

